"Name","dataset","model","time_elapsed","time_elapsed_std","Agent","User","Tags","Created","Runtime","Sweep","add_hp","add_lp","adjoint","adjoint_method","adjoint_step_size","command","cuda","d","deg_normalised","device","dropout","early_stopping","early_terminate.min_iter","early_terminate.type","earlystopxT","edge_weights","entity","epochs","evectors","folds","graph_size","hidden_channels","input_dim","input_dropout","layers","left_weights","linear","lr","max_iters","max_nfe","max_t","max_test_steps","method","metric.goal","metric.name","min_acc","no_early","normalised","orth","output_dim","parameters.add_hp.distribution","parameters.add_hps","parameters.add_lp.distribution","parameters.add_lps","parameters.ds","parameters.datasets","parameters.dropout","parameters.dropouts","parameters.early_stopping","parameters.epochs","parameters.hidden_channelss","parameters.input_dropout","parameters.input_dropouts","parameters.layerss","parameters.lr","parameters.lrs","parameters.models","parameters.sample_budget","parameters.weight_decay","program","right_weights","sample_budget","sampler","second_linear","seed","sheaf_act","sheaf_decay","sparse_learner","step_size","stop_strategy","tol_scale","tol_scale_adjoint","use_act","weight_decay","best_epoch","best_test_acc","best_val_acc","fold0_tmp_test_acc","fold0_tmp_test_loss","fold0_train_acc","fold0_train_loss","fold0_val_acc","fold0_val_loss","test_acc","test_acc_std","val_acc"
"jolly-sweep-60","cora","SampleBundleSheaf_4","0.7138041659523731","0.007123882426874928","","","","2025-06-07T14:26:02.000Z","1528","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","40","0.7484909456740443","0.7437185929648241","0.6861167002012073","1.0646008253097534","0.99748322147651","0.07019474357366562","0.7349246231155779","0.8947604894638062","74.12474849094568","2.3242702741559196","1"
"fluent-sweep-59","cora","SampleBundleSheaf_2","0.70430123905628","0.0019216955045737753","","","","2025-06-07T14:00:50.000Z","1508","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","40","0.7424547283702213","0.7437185929648241","0.6961770623742455","1.066331386566162","0.99748322147651","0.06641954928636551","0.7386934673366834","0.891198456287384","74.20523138832998","2.2742649739951366","1"
"vital-sweep-58","cora","SampleBundleSheaf_1","0.7025640106666834","0.0026893091254001893","","","","2025-06-07T13:35:37.000Z","1509","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","40","0.7464788732394366","0.7449748743718593","0.6941649899396378","1.0653396844863892","0.99748322147651","0.06664785742759705","0.7386934673366834","0.8894546031951904","74.1851106639839","2.564188773567872","1"
"revived-sweep-57","cora","BundleSheaf","15.5536","0.1443","","","","2025-06-07T06:47:29.000Z","24476","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","7","0.4647887323943662","0.507537688442211","0.6056338028169014","2.3977279663085938","1","0.0297195166349411","0.6256281407035176","2.3324732780456543","","",""
"devoted-sweep-56","wisconsin","SampleBundleSheaf_4","0.0677665237900801","0.0010387295382643718","","","","2025-06-07T06:44:47.000Z","156","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","73","0.9019607843137256","0.875","0.8235294117647058","0.6680770516395569","1","0.035287611186504364","0.85","0.3930966556072235","86.07843137254902","3.8672711614345134","1"
"fallen-sweep-55","wisconsin","SampleBundleSheaf_2","0.06780853821686468","0.0011007128734276794","","","","2025-06-07T06:42:04.000Z","156","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","77","0.9215686274509804","0.8875","0.803921568627451","0.6555750370025635","1","0.033846549689769745","0.8625","0.3977852463722229","86.27450980392159","4.112975875177064","1"
"northern-sweep-54","wisconsin","SampleBundleSheaf_1","0.06728065621643327","0.001096984119922111","","","","2025-06-07T06:39:21.000Z","156","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","77","0.9215686274509804","0.875","0.803921568627451","0.6568710207939148","1","0.03365607559680939","0.8625","0.397016704082489","85.88235294117646","4.3668740100627605","1"
"ethereal-sweep-53","wisconsin","BundleSheaf","0.07899536297470332","0.001088671268813855","","","","2025-06-07T06:36:18.000Z","180","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","7","0.7647058823529411","0.75","0.7058823529411765","2.600214958190918","1","0.004234698601067066","0.7875","1.52720308303833","76.66666666666667","4.677200173284927","1"
"lemon-sweep-52","texas","SampleBundleSheaf_4","0.04643173996149562","0.001396679068753814","","","","2025-06-07T06:34:23.000Z","111","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","93","0.8918918918918919","0.7796610169491526","0.7567567567567568","0.7272346615791321","1","0.02741645649075508","0.7457627118644068","0.7420774698257446","82.70270270270271","4.221756581571164","1"
"neat-sweep-51","texas","SampleBundleSheaf_2","0.04663968781917356","0.001265900726093798","","","","2025-06-07T06:32:28.000Z","111","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","93","0.8918918918918919","0.7796610169491526","0.7567567567567568","0.7321632504463196","1","0.02882795967161655","0.7796610169491526","0.7142542004585266","83.5135135135135","4.9022586884370405","1"
"eager-sweep-50","texas","SampleBundleSheaf_1","0.046090782227693125","0.001208931428154929","","","","2025-06-07T06:30:33.000Z","111","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","94","0.8648648648648649","0.7796610169491526","0.7567567567567568","0.744616687297821","1","0.029424404725432396","0.7796610169491526","0.7164691090583801","83.78378378378379","4.681218398834802","1"
"soft-sweep-49","texas","BundleSheaf","0.052308342247502894","0.0009269508055310654","","","","2025-06-07T06:28:23.000Z","123","qtproi57","0","0","false","adaptive_heun","1","","0","64","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","6","0.7567567567567568","0.5932203389830508","0.7837837837837838","1.8891232013702393","1","0.003523081773892045","0.711864406779661","1.365255355834961","75.40540540540542","4.4327620180693845","1"
"royal-sweep-48","cora","SampleBundleSheaf_4","0.06527060169843027","0.0015878994737113573","","","","2025-06-07T06:22:53.000Z","321","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","38","0.7303822937625755","0.7298994974874372","0.7022132796780685","1.038976788520813","1","0.060923364013433456","0.7386934673366834","0.8606463074684143","73.8430583501006","2.500156871953169","1"
"deft-sweep-47","cora","SampleBundleSheaf_2","0.0647677699481137","0.001814976588772508","","","","2025-06-07T06:17:29.000Z","319","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","37","0.7263581488933601","0.7399497487437185","0.6901408450704225","1.0149846076965332","1","0.0640905499458313","0.7349246231155779","0.858526885509491","74.06438631790743","2.5138024870745657","1"
"still-sweep-46","cora","SampleBundleSheaf_1","0.06330331540177576","0.0012327306550290362","","","","2025-06-07T06:12:11.000Z","314","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","38","0.7404426559356136","0.7336683417085427","0.6861167002012073","1.0186816453933716","1","0.06383055448532104","0.7311557788944724","0.8618625402450562","74.5271629778672","2.305030743117856","1"
"serene-sweep-45","cora","BundleSheaf","0.10047145325364544","0.0027158053518323206","","","","2025-06-07T06:05:43.000Z","380","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","10","0.4929577464788733","0.5037688442211056","0.607645875251509","1.8940439224243164","1","0.02736050076782703","0.6206030150753769","1.8204580545425415","50.48289738430582","2.468297096587896","1"
"vivid-sweep-44","wisconsin","SampleBundleSheaf_4","0.018364872066304085","0.001023938076020468","","","","2025-06-07T06:04:46.000Z","50","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","87","0.9019607843137256","0.8375","0.803921568627451","0.7078965902328491","1","0.02247975394129753","0.85","0.320456326007843","86.27450980392156","3.720326659021623","1"
"exalted-sweep-43","wisconsin","SampleBundleSheaf_2","0.01870825747796334","0.0010155587115813515","","","","2025-06-07T06:03:48.000Z","51","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","80","0.9019607843137256","0.825","0.8235294117647058","0.6797245144844055","1","0.035064101219177246","0.8625","0.4014383852481842","85.68627450980391","3.6208206495332145","1"
"easy-sweep-42","wisconsin","SampleBundleSheaf_1","0.018508748442167416","0.001229570543456815","","","","2025-06-07T06:02:50.000Z","51","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","72","0.9215686274509804","0.8875","0.8235294117647058","0.6786379814147949","1","0.034761544317007065","0.8625","0.40568551421165466","86.47058823529413","3.663047390641059","1"
"gallant-sweep-41","wisconsin","BundleSheaf","0.018851837099296973","0.0010478551941699838","","","","2025-06-07T06:01:53.000Z","52","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","10","0.7647058823529411","0.7625","0.7647058823529411","2.1461846828460693","1","0.002297363011166454","0.7875","2.658216953277588","75.29411764705883","4.573295603800237","1"
"astral-sweep-40","texas","SampleBundleSheaf_4","0.01871140907867811","0.0012153821216102105","","","","2025-06-07T06:01:00.000Z","46","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","83","0.8378378378378378","0.8305084745762712","0.7567567567567568","0.7114499807357788","1","0.02430068515241146","0.7796610169491526","0.7245916724205017","83.78378378378379","6.043426966215648","1"
"fancy-sweep-39","texas","SampleBundleSheaf_2","0.018975186867406596","0.0015993396116668365","","","","2025-06-07T06:00:08.000Z","46","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","93","0.8108108108108109","0.7796610169491526","0.7567567567567568","0.6800934672355652","1","0.02653675153851509","0.7457627118644068","0.7260459661483765","82.70270270270271","4.045035012728585","1"
"clear-sweep-38","texas","SampleBundleSheaf_1","0.01831852870061994","0.0010408398090273473","","","","2025-06-07T05:59:21.000Z","42","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","93","0.8108108108108109","0.7796610169491526","0.7567567567567568","0.6932234764099121","1","0.02607799880206585","0.7966101694915254","0.7234232425689697","82.70270270270271","4.391372110614031","1"
"summer-sweep-37","texas","BundleSheaf","0.01692969702347182","0.001048162989399004","","","","2025-06-07T05:58:33.000Z","44","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","8","0.7567567567567568","0.576271186440678","0.7837837837837838","1.497471809387207","1","0.0026925576385110617","0.8305084745762712","1.062875747680664","76.75675675675674","5.821799791496762","1"
"vital-sweep-36","cora","SampleBundleSheaf_4","0.02441246788529679","0.0017948576905350323","","","","2025-06-07T05:55:46.000Z","160","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","47","0.7283702213279678","0.7349246231155779","0.641851106639839","1.391989827156067","0.9958053691275168","0.057102080434560776","0.6884422110552764","1.1748268604278564","72.95774647887325","1.8598342065660112","1"
"worldly-sweep-35","cora","SampleBundleSheaf_2","0.023769687207182873","0.001049891740266716","","","","2025-06-07T05:52:58.000Z","160","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","47","0.7464788732394366","0.75","0.710261569416499","1.0289242267608645","1","0.07358823716640472","0.7311557788944724","0.9005320072174072","74.1046277665996","1.9508803645353736","1"
"neat-sweep-34","cora","SampleBundleSheaf_1","0.022634559365222233","0.0016886059478096874","","","","2025-06-07T05:50:21.000Z","153","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","53","0.744466800804829","0.7462311557788944","0.7263581488933601","0.9801809191703796","1","0.06802225112915039","0.7474874371859297","0.8372775316238403","74.04426559356136","2.2799542010809337","1"
"curious-sweep-33","cora","BundleSheaf","0.02799656544975005","0.0008128052730943967","","","","2025-06-07T05:47:54.000Z","142","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","13","0.5171026156941649","0.5125628140703518","0.5875251509054326","2.0260844230651855","1","0.028284041211009026","0.585427135678392","2.0225329399108887","51.73038229376259","3.48901714686964","1"
"eager-sweep-32","wisconsin","SampleBundleSheaf_4","0.01362454123725183","0.001135410640136218","","","","2025-06-07T05:47:07.000Z","39","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","55","0.8823529411764706","0.8625","0.7254901960784313","0.9000744819641113","1","0.03417993709445","0.8375","0.4121290147304535","83.72549019607843","3.725490196078433","1"
